seed,model,recall10,ndcg10,unconditional_recall10,coverage10,novelty10,nfvr10,evaluated_users,all_target_users
42,Most Popular,0.04024144869215292,0.015472672082508137,0.01794526693584567,0.0015,9.43618106842041,0.0,994,2229
42,ItemKNN,0.04426559356136821,0.022280158112043796,0.01973979362943024,0.2463,11.55856990814209,0.0,994,2229
42,Sequence-only GRU,0.096579476861167,0.05501561938045743,0.04306864064602961,0.2847,11.972412109375,0.0,994,2229
42,NextBeat,0.10865191146881288,0.05579901029791279,0.04845222072678331,0.2875,11.947659492492676,0.0,994,2229
43,Most Popular,0.04024144869215292,0.015472672082508137,0.01794526693584567,0.0015,9.43618106842041,0.0,994,2229
43,ItemKNN,0.04426559356136821,0.022280158112043796,0.01973979362943024,0.2463,11.55856990814209,0.0,994,2229
43,Sequence-only GRU,0.08350100603621731,0.04749733271864799,0.037236428891879766,0.2891,12.039387702941895,0.0,994,2229
43,NextBeat,0.09557344064386318,0.0515323015772279,0.04262000897263347,0.2388,11.71768856048584,0.0,994,2229
44,Most Popular,0.04024144869215292,0.015472672082508137,0.01794526693584567,0.0015,9.43618106842041,0.0,994,2229
44,ItemKNN,0.04426559356136821,0.022280158112043796,0.01973979362943024,0.2463,11.55856990814209,0.0,994,2229
44,Sequence-only GRU,0.09859154929577464,0.053248267916769426,0.043965903992821895,0.2893,12.009664535522461,0.0,994,2229
44,NextBeat,0.096579476861167,0.05275122080703023,0.04306864064602961,0.2771,11.904875755310059,0.0,994,2229
